****                   MendelIHT Version 1.4.6                  ****
****     Benjamin Chu, Kevin Keys, Chris German, Hua Zhou       ****
****   Jin Zhou, Eric Sobel, Janet Sinsheimer, Kenneth Lange    ****
****                                                            ****
****                 Please cite our paper!                     ****
****         https://doi.org/10.1093/gigascience/giaa044        ****

Running sparse Multivariate Gaussian regression
Number of threads = 32
Link functin = GLM.IdentityLink()
Sparsity parameter (k) = 4678
Prior weight scaling = off
Doubly sparse projection = off
Debias = off
Max IHT iterations = 20000
Converging when tol < 0.0001 and iteration ≥ 5:

Iteration 1: loglikelihood = 1.9900806693628624e6, backtracks = 0, tol = 0.05038374598183472
Iteration 58: loglikelihood = 2.0776082394863572e6, backtracks = 1, tol = 0.0019799195735751224
Iteration 59: loglikelihood = 2.12241893960124e6, backtracks = 2, tol = 0.0013427431164154127
Iteration 60: loglikelihood = 2.1421340218982114e6, backtracks = 3, tol = 0.0009456740957209783
Iteration 61: loglikelihood = 2.09061447478625e6, backtracks = 3, tol = 0.0011905909320125735
Iteration 62: loglikelihood = 2.1006031407901812e6, backtracks = 2, tol = 0.001441236423538556
Iteration 63: loglikelihood = 2.219611214164869e6, backtracks = 3, tol = 0.0008154969924141831
Iteration 64: loglikelihood = 2.0189418952340614e6, backtracks = 3, tol = 0.0017770627589015378
Iteration 65: loglikelihood = 2.2454176237800927e6, backtracks = 1, tol = 0.0015940240021240935
Iteration 66: loglikelihood = 2.04548429021641e6, backtracks = 3, tol = 0.0024886702242575423
Iteration 67: loglikelihood = 2.0693911922531084e6, backtracks = 1, tol = 0.0019325471686598426
Iteration 68: loglikelihood = 2.193308765187779e6, backtracks = 2, tol = 0.0011412859554409942
Iteration 69: loglikelihood = 2.032574178840933e6, backtracks = 3, tol = 0.0016395953956698363
Iteration 70: loglikelihood = 2.149434916376025e6, backtracks = 1, tol = 0.0017320145921458654
Iteration 71: loglikelihood = 2.0833802139931053e6, backtracks = 3, tol = 0.0012076013548597254
Iteration 72: loglikelihood = 2.14366049390195e6, backtracks = 2, tol = 0.00127818165978589
Iteration 73: loglikelihood = 2.0972324735145476e6, backtracks = 3, tol = 0.001152703441782094
Iteration 74: loglikelihood = 2.100924463468199e6, backtracks = 2, tol = 0.0014446502267616574
Iteration 75: loglikelihood = 2.240521456217655e6, backtracks = 3, tol = 0.0007915302740268169
Iteration 76: loglikelihood = 2.0219407600268205e6, backtracks = 3, tol = 0.0017859706263973786
Iteration 77: loglikelihood = 2.252960443614641e6, backtracks = 1, tol = 0.0015740931339963404
Iteration 78: loglikelihood = 2.0723374134699078e6, backtracks = 3, tol = 0.0015372448444983184
Iteration 79: loglikelihood = 2.1628936054292754e6, backtracks = 2, tol = 0.0013414315617515805
Iteration 80: loglikelihood = 2.0792355804215334e6, backtracks = 3, tol = 0.001359369670374256
Iteration 81: loglikelihood = 2.158516705932944e6, backtracks = 2, tol = 0.0012208194054970384
Iteration 82: loglikelihood = 2.0820174188306518e6, backtracks = 3, tol = 0.0012579022454415076
Iteration 83: loglikelihood = 2.147566902092409e6, backtracks = 2, tol = 0.0012798450969462743
Iteration 84: loglikelihood = 2.098976908501251e6, backtracks = 3, tol = 0.0011386442140024296
Iteration 85: loglikelihood = 2.260423602805943e6, backtracks = 3, tol = 0.000743339018165003
Iteration 86: loglikelihood = 2.0548616258156728e6, backtracks = 3, tol = 0.0012772502064846303
Iteration 87: loglikelihood = 2.0906182864377438e6, backtracks = 1, tol = 0.0019460949039068651
Iteration 88: loglikelihood = 2.1179743133990816e6, backtracks = 2, tol = 0.0013590401224310327
Iteration 89: loglikelihood = 2.1841777931823893e6, backtracks = 3, tol = 0.0008571794285733704
Iteration 90: loglikelihood = 2.0510021936558438e6, backtracks = 3, tol = 0.001516441930185564
Iteration 91: loglikelihood = 2.1081595541578345e6, backtracks = 1, tol = 0.0018528412069092528
Iteration 92: loglikelihood = 2.240645651817327e6, backtracks = 3, tol = 0.0007771684393001073
Iteration 93: loglikelihood = 2.0144502916577552e6, backtracks = 3, tol = 0.0019498867220850776
Iteration 94: loglikelihood = 2.0599493212469392e6, backtracks = 0, tol = 0.0028964540937730324
Iteration 95: loglikelihood = 2.0811008627313552e6, backtracks = 1, tol = 0.001918687793152971
Iteration 96: loglikelihood = 2.1812415009878147e6, backtracks = 2, tol = 0.0011612140079527023
Iteration 97: loglikelihood = 2.064419422520322e6, backtracks = 3, tol = 0.0013787499313985389
Iteration 98: loglikelihood = 2.0754646075993306e6, backtracks = 1, tol = 0.0020834981435896055
Iteration 99: loglikelihood = 2.217495548537287e6, backtracks = 2, tol = 0.001079074359467388
Iteration 100: loglikelihood = 2.0372044209000533e6, backtracks = 3, tol = 0.0018111697974049438
Iteration 101: loglikelihood = 2.211330719290115e6, backtracks = 1, tol = 0.0015953525593296453
Iteration 102: loglikelihood = 2.038980160487034e6, backtracks = 3, tol = 0.0015575935841046196
Iteration 103: loglikelihood = 2.19954353400168e6, backtracks = 1, tol = 0.001621137226969656
Iteration 104: loglikelihood = 2.0461935574680362e6, backtracks = 3, tol = 0.0015547864681930588
Iteration 105: loglikelihood = 2.154703102429959e6, backtracks = 1, tol = 0.0017183481605445217
Iteration 106: loglikelihood = 2.104797325303328e6, backtracks = 3, tol = 0.001273467214015098
Iteration 107: loglikelihood = 2.1193890596978767e6, backtracks = 2, tol = 0.0013921944738075867
Iteration 108: loglikelihood = 2.21807797075762e6, backtracks = 3, tol = 0.000823725876766388
Iteration 109: loglikelihood = 2.0342769583671363e6, backtracks = 3, tol = 0.001753858121876696
Iteration 110: loglikelihood = 2.2577399436020376e6, backtracks = 1, tol = 0.0015334939710686302
Iteration 111: loglikelihood = 2.0387305511493357e6, backtracks = 3, tol = 0.0018458430815414613
Iteration 112: loglikelihood = 2.170787911716063e6, backtracks = 1, tol = 0.0016302565555558499
Iteration 113: loglikelihood = 2.0926469568276824e6, backtracks = 3, tol = 0.001452176586047505
Iteration 114: loglikelihood = 2.1580189272087663e6, backtracks = 2, tol = 0.001242975494167873
Iteration 115: loglikelihood = 2.111702569260869e6, backtracks = 3, tol = 0.0011133619454067704
Iteration 116: loglikelihood = 2.2690753893042174e6, backtracks = 3, tol = 0.0007173001922917944
Iteration 117: loglikelihood = 2.0536453501908784e6, backtracks = 3, tol = 0.0013306565282855088
Iteration 118: loglikelihood = 2.127509220295493e6, backtracks = 1, tol = 0.0019499384314643703
Iteration 119: loglikelihood = 2.1972018084005085e6, backtracks = 3, tol = 0.0008478923179150532
Iteration 120: loglikelihood = 2.0594388347722343e6, backtracks = 3, tol = 0.0014889212763118847
Iteration 121: loglikelihood = 2.1113152250255924e6, backtracks = 1, tol = 0.0018243308618203242
Iteration 122: loglikelihood = 2.2724276155869365e6, backtracks = 3, tol = 0.000709370377603268
Iteration 123: loglikelihood = 2.0812575015285513e6, backtracks = 3, tol = 0.0012022522974976522
Iteration 124: loglikelihood = 2.2182735347841326e6, backtracks = 2, tol = 0.0011282037460337666
Iteration 125: loglikelihood = 2.0372580250655552e6, backtracks = 3, tol = 0.0017971177836425352
Iteration 126: loglikelihood = 2.2107418191322503e6, backtracks = 1, tol = 0.0015574210829616
Iteration 127: loglikelihood = 2.046454546663451e6, backtracks = 3, tol = 0.0016917602371319125
Iteration 128: loglikelihood = 2.1649928284604996e6, backtracks = 1, tol = 0.0017156792528310815
Iteration 129: loglikelihood = 2.105630354989947e6, backtracks = 3, tol = 0.0010992446446625723
Iteration 130: loglikelihood = 2.128483741156745e6, backtracks = 2, tol = 0.0013408093914403737
Iteration 131: loglikelihood = 2.2099108244300717e6, backtracks = 3, tol = 0.0008047021071518289
Iteration 132: loglikelihood = 2.045160492420855e6, backtracks = 3, tol = 0.0016454474213397786
Iteration 133: loglikelihood = 2.189445084868342e6, backtracks = 1, tol = 0.0016015576266343603
Iteration 134: loglikelihood = 2.065426535451197e6, backtracks = 3, tol = 0.0015219313641185483
Iteration 135: loglikelihood = 2.1065011672896426e6, backtracks = 1, tol = 0.0018436673554839524
Iteration 136: loglikelihood = 2.1185339280634085e6, backtracks = 2, tol = 0.0013625607657274407
Iteration 137: loglikelihood = 2.2594020271784533e6, backtracks = 3, tol = 0.0007287366042677498
Iteration 138: loglikelihood = 2.0343132829045397e6, backtracks = 3, tol = 0.001702026049155023
Iteration 139: loglikelihood = 2.043268422040414e6, backtracks = 0, tol = 0.0028899750227985963
Iteration 140: loglikelihood = 2.2221060843442385e6, backtracks = 1, tol = 0.0015231932960506375
Iteration 141: loglikelihood = 2.040001221708189e6, backtracks = 3, tol = 0.0016022709886698277
Iteration 142: loglikelihood = 2.2644684596771644e6, backtracks = 1, tol = 0.0014634687784579855
Iteration 143: loglikelihood = 2.0387960657234706e6, backtracks = 3, tol = 0.0014513695459363843
Iteration 144: loglikelihood = 2.266199738744527e6, backtracks = 1, tol = 0.0014325716615494436
Iteration 145: loglikelihood = 2.0453276448320188e6, backtracks = 3, tol = 0.0014704388393481315
Iteration 146: loglikelihood = 2.196648411990688e6, backtracks = 1, tol = 0.0011665347240000894
Iteration 147: loglikelihood = 2.0538394906372656e6, backtracks = 3, tol = 0.000807528948430441
Iteration 148: loglikelihood = 2.1194078486254597e6, backtracks = 1, tol = 0.0008148318217732434
Iteration 149: loglikelihood = 2.1968883748121606e6, backtracks = 3, tol = 0.00040742948765303455
Iteration 150: loglikelihood = 2.0997481290261773e6, backtracks = 3, tol = 0.0008503294345826261
Iteration 151: loglikelihood = 2.1458329645448653e6, backtracks = 2, tol = 0.000526704095504647
Iteration 152: loglikelihood = 2.1362541943698633e6, backtracks = 3, tol = 0.0005074752547441148
Iteration 153: loglikelihood = 2.1877507259579822e6, backtracks = 3, tol = 0.000364905740421141
Iteration 154: loglikelihood = 2.104982133968437e6, backtracks = 3, tol = 0.0005529615250062488
Iteration 155: loglikelihood = 2.1309516643678015e6, backtracks = 2, tol = 0.0006059899555882985
Iteration 156: loglikelihood = 2.1678854177862923e6, backtracks = 3, tol = 0.000506771053411672
Iteration 157: loglikelihood = 2.118794656008157e6, backtracks = 3, tol = 0.00047934810894908407
Iteration 158: loglikelihood = 2.2184293778129118e6, backtracks = 3, tol = 0.00045021440783187677
Iteration 159: loglikelihood = 2.0558703796337137e6, backtracks = 3, tol = 0.0006355884202575274
Iteration 160: loglikelihood = 2.135127548360603e6, backtracks = 1, tol = 0.0009506894546722875
Iteration 161: loglikelihood = 2.138955983847988e6, backtracks = 3, tol = 0.00044587981987244266
Iteration 162: loglikelihood = 2.180377714983443e6, backtracks = 3, tol = 0.00034768389483320433
Iteration 163: loglikelihood = 2.0882044547065897e6, backtracks = 3, tol = 0.0006087611725886817
Iteration 164: loglikelihood = 2.1764111196342716e6, backtracks = 2, tol = 0.0005041422226133847
Iteration 165: loglikelihood = 2.0893518098158487e6, backtracks = 3, tol = 0.0004578088505738707
Iteration 166: loglikelihood = 2.167212647874247e6, backtracks = 2, tol = 0.00045413190179268
Iteration 167: loglikelihood = 2.098137830502131e6, backtracks = 3, tol = 0.0003999188962616939
Iteration 168: loglikelihood = 2.151231986760035e6, backtracks = 2, tol = 0.00041685785149159704
Iteration 169: loglikelihood = 2.1049539641733775e6, backtracks = 3, tol = 0.0004009615845455356
Iteration 170: loglikelihood = 2.132773355369486e6, backtracks = 2, tol = 0.0006192589832834701
Iteration 171: loglikelihood = 2.1321875878682574e6, backtracks = 3, tol = 0.0004116128762973569
Iteration 172: loglikelihood = 2.162622279817749e6, backtracks = 3, tol = 0.00029849920035891693
Iteration 173: loglikelihood = 2.11206210092323e6, backtracks = 3, tol = 0.00038232261198865224
Iteration 174: loglikelihood = 2.231396966653416e6, backtracks = 3, tol = 0.00036264830140178615
Iteration 175: loglikelihood = 2.066499956737074e6, backtracks = 3, tol = 0.0005162884957301909
Iteration 176: loglikelihood = 2.0800506018076187e6, backtracks = 1, tol = 0.0007001484625546791
Iteration 177: loglikelihood = 2.121757948667086e6, backtracks = 2, tol = 0.0006080435204961242
Iteration 178: loglikelihood = 2.164041661878097e6, backtracks = 3, tol = 0.00036707984596393435
Iteration 179: loglikelihood = 2.1125493617788176e6, backtracks = 3, tol = 0.00047338797780645936
Iteration 180: loglikelihood = 2.2278244560655183e6, backtracks = 3, tol = 0.00034715449034051067
Iteration 181: loglikelihood = 2.0702430381033325e6, backtracks = 3, tol = 0.0005100147702460022
Iteration 182: loglikelihood = 2.0755566243261446e6, backtracks = 1, tol = 0.0006778000972430951
Iteration 183: loglikelihood = 2.1260864238197627e6, backtracks = 2, tol = 0.000638158076007401
Iteration 184: loglikelihood = 2.1529515130169494e6, backtracks = 3, tol = 0.0003948320278710568
Iteration 185: loglikelihood = 2.1167803700377326e6, backtracks = 3, tol = 0.0005001868318441282
Iteration 186: loglikelihood = 2.1696567674766816e6, backtracks = 3, tol = 0.00038421051384710913
Iteration 187: loglikelihood = 2.1007442397164013e6, backtracks = 3, tol = 0.00046000850030282497
Iteration 188: loglikelihood = 2.1125936033904483e6, backtracks = 2, tol = 0.00046000718164074245
Iteration 189: loglikelihood = 2.151969943431387e6, backtracks = 3, tol = 0.0004521641672365613
Iteration 190: loglikelihood = 2.1315847792196437e6, backtracks = 3, tol = 0.0003638633945962383
Iteration 191: loglikelihood = 2.1386377612261157e6, backtracks = 3, tol = 0.00036386242921536665
Iteration 192: loglikelihood = 2.143113860238862e6, backtracks = 3, tol = 0.0003225657290815448
Iteration 193: loglikelihood = 2.1281544999421937e6, backtracks = 3, tol = 0.0003566563644434738
Iteration 194: loglikelihood = 2.1542747369703026e6, backtracks = 3, tol = 0.0003566553452035477
Iteration 195: loglikelihood = 2.1165207592119426e6, backtracks = 3, tol = 0.0003957049843705375
Iteration 196: loglikelihood = 2.1681974694540384e6, backtracks = 3, tol = 0.0003957038522012247
Iteration 197: loglikelihood = 2.1019560747020217e6, backtracks = 3, tol = 0.0004529220892381571
Iteration 198: loglikelihood = 2.111075408384865e6, backtracks = 2, tol = 0.00045920496708569126
Iteration 199: loglikelihood = 2.160908209219382e6, backtracks = 3, tol = 0.0004592025189193924
Iteration 200: loglikelihood = 2.1245544415559554e6, backtracks = 3, tol = 0.00037604892330117545
Iteration 201: loglikelihood = 2.1545018586626397e6, backtracks = 3, tol = 0.00037604796671002324
Iteration 202: loglikelihood = 2.1277576876522438e6, backtracks = 3, tol = 0.0003529853844619751
Iteration 203: loglikelihood = 2.154663071685997e6, backtracks = 3, tol = 0.00035298449374201064
Iteration 204: loglikelihood = 2.125957904089718e6, backtracks = 3, tol = 0.0003541006189361698
Iteration 205: loglikelihood = 2.1586806940798266e6, backtracks = 3, tol = 0.0003540997252931031
Iteration 206: loglikelihood = 2.120930201754748e6, backtracks = 3, tol = 0.00036743577533100886
Iteration 207: loglikelihood = 2.1684626788319536e6, backtracks = 3, tol = 0.0003674348484306873
Iteration 208: loglikelihood = 2.110480665198967e6, backtracks = 3, tol = 0.0004016558563673626
Iteration 209: loglikelihood = 2.1852015332676666e6, backtracks = 3, tol = 0.0004016548435467603
Iteration 210: loglikelihood = 2.094420978341211e6, backtracks = 3, tol = 0.0004620934737992685
Iteration 211: loglikelihood = 2.127122739453131e6, backtracks = 2, tol = 0.000462092312952255
Iteration 212: loglikelihood = 2.149073500258875e6, backtracks = 3, tol = 0.0004061612328189355
Iteration 213: loglikelihood = 2.134504256023e6, backtracks = 3, tol = 0.00036545378538922876
Iteration 214: loglikelihood = 2.151263694801825e6, backtracks = 3, tol = 0.00033624440989189335
Iteration 215: loglikelihood = 2.1307390331254e6, backtracks = 3, tol = 0.00035731278243725587
Iteration 216: loglikelihood = 2.161420897873269e6, backtracks = 3, tol = 0.0003303182925919878
Iteration 217: loglikelihood = 2.111345730421113e6, backtracks = 3, tol = 0.0005931280719934227
Iteration 218: loglikelihood = 2.2198541217043214e6, backtracks = 3, tol = 0.0003520025473435658
Iteration 219: loglikelihood = 2.0674121621083925e6, backtracks = 3, tol = 0.000530810073672502
Iteration 220: loglikelihood = 2.0802453250101027e6, backtracks = 1, tol = 0.0009068626348938993
Iteration 221: loglikelihood = 2.118743917519046e6, backtracks = 2, tol = 0.000610915550166059
Iteration 222: loglikelihood = 2.173943302376626e6, backtracks = 3, tol = 0.00038792640503411185
Iteration 223: loglikelihood = 2.0959604414530087e6, backtracks = 3, tol = 0.0004512990104943123
Iteration 224: loglikelihood = 2.1225771499235416e6, backtracks = 2, tol = 0.000603512693875594
Iteration 225: loglikelihood = 2.1431867114838115e6, backtracks = 3, tol = 0.00041675637941670693
Iteration 226: loglikelihood = 2.146097664171706e6, backtracks = 3, tol = 0.0003253793938476526
Iteration 227: loglikelihood = 2.1245823905507037e6, backtracks = 3, tol = 0.0003639785357279841
Iteration 228: loglikelihood = 2.165280216700994e6, backtracks = 3, tol = 0.00036394105704291163
Iteration 229: loglikelihood = 2.1051729297961e6, backtracks = 3, tol = 0.00043108533116369
Iteration 230: loglikelihood = 2.112455170064195e6, backtracks = 2, tol = 0.0004549267823970406
Iteration 231: loglikelihood = 2.1669403195079486e6, backtracks = 3, tol = 0.00045461760638725653
Iteration 232: loglikelihood = 2.120449592825093e6, backtracks = 3, tol = 0.0003870344258813992
Iteration 233: loglikelihood = 2.16897763509953e6, backtracks = 3, tol = 0.0003867909523988232
Iteration 234: loglikelihood = 2.1140871715912265e6, backtracks = 3, tol = 0.00039351932777104706
Iteration 235: loglikelihood = 2.1840056227765167e6, backtracks = 3, tol = 0.0003932793475635078
Iteration 236: loglikelihood = 2.0974526638220083e6, backtracks = 3, tol = 0.0004460590314393221
Iteration 237: loglikelihood = 2.1231724792792476e6, backtracks = 2, tol = 0.0005023275340699327
Iteration 238: loglikelihood = 2.174231508649808e6, backtracks = 3, tol = 0.0003875320318355067
Iteration 239: loglikelihood = 2.102265453105193e6, backtracks = 3, tol = 0.0005880829627590299
Iteration 240: loglikelihood = 2.1158705395461316e6, backtracks = 2, tol = 0.0005839989730237215
Iteration 241: loglikelihood = 2.178022904696439e6, backtracks = 3, tol = 0.0004296705983518452
Iteration 242: loglikelihood = 2.1046078257496804e6, backtracks = 3, tol = 0.0004514567900692958
Iteration 243: loglikelihood = 2.10560390155328e6, backtracks = 2, tol = 0.0005788861969377995
Iteration 244: loglikelihood = 2.2658852924751104e6, backtracks = 3, tol = 0.0003657815048342822
Iteration 245: loglikelihood = 1.9426022250326735e6, backtracks = 3, tol = 0.0013200266928250362
Iteration 246: loglikelihood = 1.9813795462608342e6, backtracks = 0, tol = 0.00037348910437558696
Iteration 247: loglikelihood = 2.1230292832159954e6, backtracks = 0, tol = 0.0006382099987085374
Iteration 248: loglikelihood = 2.1991486695088404e6, backtracks = 3, tol = 0.0003343251474620296
Iteration 249: loglikelihood = 2.0482656200500657e6, backtracks = 3, tol = 0.0003893480061863913
Iteration 250: loglikelihood = 2.153344808606047e6, backtracks = 1, tol = 0.0003893470689346289
Iteration 251: loglikelihood = 2.1121806200313494e6, backtracks = 3, tol = 0.00032004204951628445
Iteration 252: loglikelihood = 2.1344817253168467e6, backtracks = 2, tol = 0.00027724472839931466
Iteration 253: loglikelihood = 2.1580002666927073e6, backtracks = 3, tol = 0.00024449126441720775
Iteration 254: loglikelihood = 2.137801122171615e6, backtracks = 3, tol = 0.0001906379803723373
Iteration 255: loglikelihood = 2.161402745161536e6, backtracks = 3, tol = 0.00017001725974500546
Iteration 256: loglikelihood = 2.102937510159772e6, backtracks = 3, tol = 0.0002472832424330344
Iteration 257: loglikelihood = 2.114320817646879e6, backtracks = 2, tol = 0.00022507433775646613
Iteration 258: loglikelihood = 2.2094619672525157e6, backtracks = 3, tol = 0.00019172015493109753
Iteration 259: loglikelihood = 2.0712306590700797e6, backtracks = 3, tol = 0.0002393156878907671
Iteration 260: loglikelihood = 2.204375260475316e6, backtracks = 2, tol = 0.00023274439495684317
Iteration 261: loglikelihood = 2.0713137898546816e6, backtracks = 3, tol = 0.00022877450502695
Iteration 262: loglikelihood = 2.208118784110293e6, backtracks = 2, tol = 0.0002278493901191778
Iteration 263: loglikelihood = 2.0690895046335254e6, backtracks = 3, tol = 0.00021299080637670503
Iteration 264: loglikelihood = 2.2358958440539874e6, backtracks = 2, tol = 0.0002095039631457419
Iteration 265: loglikelihood = 2.0536983645421332e6, backtracks = 3, tol = 0.0002274267871948098
Iteration 266: loglikelihood = 2.0956691276563653e6, backtracks = 1, tol = 0.00038393797098513983
Iteration 267: loglikelihood = 2.1541965516693126e6, backtracks = 3, tol = 9.036355595220718e-5

Compute time (sec):     4539.787247180939
Final loglikelihood:    2.2724276155869365e6
Iterations:             267
Trait 1's SNP PVE:      0.0178409194999977
Trait 2's SNP PVE:      0.04232486519501827
Trait 3's SNP PVE:      0.02446916995863271
Trait 4's SNP PVE:      0.03649763922610326
Trait 5's SNP PVE:      0.04818098699173014
Trait 6's SNP PVE:      0.054727051100212754
Trait 7's SNP PVE:      0.0500957663968989
Trait 8's SNP PVE:      0.03320721082638241
Trait 9's SNP PVE:      0.043210706423667464
Trait 10's SNP PVE:      0.03695480443510882
Trait 11's SNP PVE:      0.026776689227920734
Trait 12's SNP PVE:      0.025019994006137407
Trait 13's SNP PVE:      0.023074306682808476
Trait 14's SNP PVE:      0.026883760571690115
Trait 15's SNP PVE:      0.05149786047693182
Trait 16's SNP PVE:      0.05378609502700606
Trait 17's SNP PVE:      0.02677704890338828
Trait 18's SNP PVE:      0.013592562649030856

Estimated trait covariance:
18×18 DataFrame
 Row │ trait1    trait2     trait3     trait4       trait5      trait6     trait7     trait8      trait9     trait10    trait11    trait12    trait13     trait14      trait15     trait16     trait17     trait18
     │ Float64   Float64    Float64    Float64      Float64     Float64    Float64    Float64     Float64    Float64    Float64    Float64    Float64     Float64      Float64     Float64     Float64     Float64
─────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
